9.00,2575991.00,231.10,8343.90,2527.00,10870.90,10636.90,234.00,3228.00,3309.00,21.18,19.82,1.62,2.58,14.59,6.65,1.43,1.41,3.30,3.21,-819.13,0.12,0.23,7450.00,5157.00,9260.00,-364.00,-9.13,394.00,729.00,455.92,1600.00,1275.05,0.37,0.37,-0.11,0.02,0.07,0.03,61.00,871.00,1125.00,3309.00,421.00,115.55,0.31,0.02,0.30,0.23,0.37,1.10,40.47
8.00,247730.00,62.30,1464.70,46.00,1510.70,1281.80,228.90,620.60,622.40,30.97,36.17,2.12,2.36,22.85,18.26,2.52,2.05,2.07,2.06,-1.68,0.08,0.09,509.50,692.40,886.40,110.50,0.32,47.30,56.10,36.34,70.20,38.02,0.35,0.35,0.18,0.15,0.37,0.26,12.10,14.10,260.50,622.40,40.50,22.43,0.00,0.09,0.03,0.03,0.35,1.27,27.01
6.00,465797.00,10.80,295.50,16.50,312.00,310.30,1.70,244.30,259.90,31.77,25.47,3.13,1.21,20.41,17.53,2.84,2.81,1.27,1.19,1.61,0.04,0.06,109.20,94.40,149.90,47.10,3.01,9.30,15.20,10.02,17.70,8.41,0.34,0.34,0.19,0.01,0.01,0.01,1.10,2.50,46.40,259.90,11.60,0.00,0.38,0.02,0.06,0.05,0.34,0.73,22.45
8.00,207625.00,50.50,1727.90,85.00,1812.90,1754.70,58.20,358.80,377.40,57.22,67.23,5.58,4.82,35.66,23.36,5.21,4.59,4.89,4.65,-20.29,0.08,0.14,336.70,309.90,658.50,-15.30,-0.79,30.20,49.20,31.27,75.10,51.57,0.36,0.37,-0.04,0.03,0.16,0.09,6.40,25.90,186.90,377.40,25.70,0.00,0.37,0.06,0.05,0.05,0.37,0.90,34.95
9.00,1037059.00,242.60,8520.10,6981.00,15501.10,15292.10,209.00,6828.00,6025.00,14.47,17.25,1.26,1.25,11.43,7.01,1.13,1.13,2.24,2.54,392.92,0.09,0.20,13530.00,6758.00,21835.00,817.00,-96.08,589.00,1338.00,844.21,2180.00,451.29,0.37,0.36,0.12,0.01,0.03,0.01,1331.00,842.00,0.00,6025.00,494.00,388.16,0.02,0.74,0.82,0.45,0.36,0.35,36.16
7.00,233017.00,39.00,787.30,255.60,1042.90,909.20,133.70,1028.00,1050.50,14.24,16.30,1.13,0.77,11.05,7.55,1.11,1.09,0.88,0.87,12.97,0.05,0.08,821.20,699.30,1217.90,236.30,5.17,55.30,82.30,61.57,120.40,48.59,0.25,0.22,0.23,0.13,0.13,0.11,45.90,38.10,160.90,1050.50,48.30,0.00,0.36,0.15,0.32,0.25,0.22,1.28,21.89
7.00,342620.00,38.00,854.30,0.00,854.30,682.10,172.20,451.90,507.30,30.95,18.14,2.20,1.89,16.84,11.70,3.17,2.20,1.51,1.34,5.85,0.06,0.09,215.40,387.60,538.20,109.70,13.45,27.60,40.50,30.04,58.30,24.19,0.26,0.26,0.24,0.20,0.38,0.32,10.20,17.80,127.20,507.30,47.10,0.00,0.09,0.07,0.00,0.00,0.26,1.44,22.86
9.00,1461585.00,172.30,4512.50,855.10,5367.60,5061.00,306.60,1917.70,1860.80,13.49,42.49,1.32,2.35,9.74,6.39,1.28,1.26,2.64,2.72,163.72,0.17,0.27,3958.70,3410.20,5255.80,333.10,-9.88,334.40,519.50,378.80,791.40,215.08,0.27,0.27,0.17,0.06,0.16,0.06,445.50,271.90,119.10,1860.80,106.20,151.62,0.04,0.77,0.19,0.16,0.27,0.73,26.38
9.00,2808066.00,192.60,2724.80,0.00,2724.80,2093.80,631.00,3475.80,3381.10,9.78,13.46,2.23,0.78,4.79,3.72,3.55,2.23,0.60,0.62,-33.64,0.08,0.13,590.20,1221.20,1756.10,74.90,-2.04,278.70,437.20,274.08,562.70,307.72,0.37,0.37,0.02,0.23,0.18,0.36,93.90,125.50,828.60,3381.10,202.40,96.30,0.03,0.29,0.00,0.00,0.37,1.33,14.40
10.00,1432427.00,485.70,22360.20,18738.00,41098.20,40819.20,279.00,14945.00,15197.00,15.50,15.09,1.47,1.50,13.81,8.62,1.21,1.21,2.73,2.69,1360.77,0.10,0.20,33696.00,15237.00,54367.00,639.00,10.77,1443.00,2956.00,1953.03,4738.00,592.25,0.34,0.32,0.04,0.01,0.02,0.01,3132.00,1782.00,0.00,15197.00,1482.00,981.11,0.00,0.71,0.84,0.46,0.32,0.35,46.74
9.00,968498.00,113.40,2710.50,5803.50,8514.00,7993.60,520.40,1015.90,964.50,16.56,11.49,1.28,2.67,16.09,15.72,1.08,1.07,7.87,8.29,1068.92,0.16,0.49,7405.10,2122.00,8581.40,-113.10,5.72,163.70,496.90,471.02,508.50,-597.91,0.05,0.00,-0.11,0.06,0.51,0.06,1074.80,11.60,83.40,964.50,235.80,0.00,0.00,0.00,2.14,0.68,-0.06,0.68,38.35
10.00,2312598.00,744.30,10280.10,21373.00,31653.10,29683.10,1970.00,18141.00,16958.00,10.98,10.62,2.25,0.57,8.70,6.17,1.24,1.22,1.64,1.75,774.83,0.05,0.19,23972.00,4569.00,41830.00,1030.00,-67.17,936.40,3413.00,2297.09,4807.00,1522.25,0.33,0.57,0.06,0.06,0.11,0.05,2236.00,1394.00,301.00,16958.00,968.20,148.86,0.06,0.62,2.08,0.68,0.57,0.73,14.51
10.00,1554368.00,327.60,23938.90,6481.30,30420.20,25619.10,4801.10,36595.90,44040.50,13.53,12.73,2.30,0.65,8.11,7.10,2.12,1.80,0.70,0.58,-1137.85,0.05,0.09,12086.00,10405.80,41494.50,-5044.30,-1026.15,1769.60,3159.70,1934.15,3609.60,3071.99,0.39,0.39,-0.14,0.16,0.13,0.12,338.20,449.90,6686.80,44040.50,1880.00,294.84,0.17,0.01,0.27,0.21,0.39,0.73,68.59
6.00,68751.00,9.30,274.50,1.10,275.60,249.50,26.10,348.50,349.00,15.87,23.66,1.34,0.79,8.75,8.02,1.39,1.34,0.72,0.71,-0.05,0.05,0.08,179.30,204.30,249.30,37.10,0.05,17.30,28.50,17.32,31.10,17.37,0.39,0.39,0.11,0.09,0.07,0.10,2.50,2.60,40.70,349.00,11.60,0.00,0.62,0.02,0.00,0.00,0.39,0.73,32.33
7.00,267581.00,23.90,922.20,72.80,995.00,978.00,17.00,178.80,205.10,30.34,25.76,26.96,5.16,19.25,17.65,10.87,9.30,5.47,4.77,22.41,0.17,0.28,90.00,34.20,172.40,-2.00,-0.29,30.40,50.80,32.38,55.40,9.97,0.36,0.36,-0.01,0.02,0.10,0.10,27.30,4.60,67.60,205.10,35.80,0.00,0.38,0.30,0.08,0.07,0.36,0.94,38.50
6.00,1107536.00,17.30,254.60,0.00,254.60,221.30,33.30,46.60,66.50,26.52,14.63,4.24,5.46,38.82,30.32,8.29,4.24,4.75,3.33,2.72,0.21,0.12,26.70,60.00,71.40,6.60,2.82,9.60,5.70,5.70,7.30,2.98,0.00,0.00,0.14,0.13,0.71,0.47,1.50,1.60,10.30,66.50,17.40,2.60,0.00,0.11,0.00,0.00,-0.48,1.27,15.05
9.00,873225.00,96.80,5754.80,1286.80,7041.60,6260.30,781.30,9962.20,10630.60,11.15,10.38,1.67,0.58,8.18,6.62,1.58,1.49,0.63,0.59,224.30,0.05,0.08,3953.70,3448.20,7721.80,959.80,64.40,516.20,764.90,590.54,945.50,366.24,0.23,0.15,0.10,0.11,0.08,0.10,340.50,180.60,1358.30,10630.60,554.50,38.72,0.23,0.18,0.22,0.18,0.15,1.46,59.19
10.00,1391839.00,300.30,28772.60,1561.20,30333.80,27371.40,2962.40,5709.80,5891.10,24.54,22.14,4.93,5.04,17.09,14.73,6.17,4.10,4.79,4.65,-81.01,0.21,0.28,4435.90,5837.10,9179.30,450.00,14.29,1172.40,1601.30,1152.63,1857.90,1233.64,0.28,0.28,0.08,0.10,0.52,0.32,161.30,256.60,3201.70,5891.10,1299.60,60.06,0.38,0.09,0.05,0.05,0.28,0.99,111.08
