0,0.21,0.63,0.17,0,0.5,12.2,9.4,0.931,0.579,0.785,1022.1,17.8
0,0.17,0.79,0.04,0,0.55,12.8,10,0.901,0.671,0.818,1021.4,17.8
0,0.5,0.46,0,0.04,0.45,14.4,11.1,0.931,0.726,0.829,1017.8,17.8
0,0.25,0.71,0,0.04,0.5,12.2,10.6,0.961,0.675,0.836,1021.6,17.8
0,0.08,0.25,0.13,0.54,1,11.7,9.4,0.9,0.775,0.833,1022.4,15.6
0.13,0.25,0.42,0.17,0.04,0.5,11.7,7.8,0.892,0.649,0.791,1021.6,17.8
0.21,0.25,0.17,0.04,0.33,0.5,11.7,8.3,0.93,0.722,0.825,1018.5,16.7
0.58,0.17,0.21,0.04,0,0,12.8,6.7,0.931,0.45,0.805,1016.7,18.9
0,0.04,0.96,0,0,0.5,13.9,11.7,0.931,0.866,0.905,1015.3,15.6
0.04,0.29,0.46,0.13,0.08,0.6,10,2.2,0.929,0.404,0.694,1016,15.6
0,0.33,0.63,0,0.04,0.5,10.6,6.1,0.9,0.515,0.781,1010.9,16.1
0.04,0.63,0.29,0.04,0,0.4,10,5,0.929,0.661,0.763,1009.7,15
0,0.46,0.38,0.17,0,0.5,8.9,-0.6,0.897,0.458,0.744,1013.5,13.3
0,0.42,0.46,0.13,0,0.5,8.9,7.2,0.897,0.598,0.783,1016.1,15.6
0,0.29,0.54,0.13,0.04,0.6,10,6.7,0.858,0.621,0.742,1018.8,16.7
0.04,0.29,0.5,0.17,0,0.5,11.1,8.9,0.893,0.601,0.776,1020.5,17.2
0,0.21,0.71,0.08,0,0.6,11.7,8.3,0.929,0.645,0.808,1016.9,17.2
0.13,0.29,0.58,0,0,0.5,9.4,7.2,0.96,0.598,0.768,1019,15.6
0.13,0.42,0.25,0.08,0.13,0.25,11.7,6.7,0.894,0.624,0.776,1021,18.3
0,0.08,0.71,0.13,0.08,0.68,11.1,9.4,0.93,0.603,0.789,1019.6,17.8
0,0.54,0.42,0.04,0,0.4,12.2,5.6,1,0.556,0.754,1018.6,16.7
